WEEK,tot_sales,tot_Profit,FULLCUST,tot_sales_change,tot_Profit_change,Cus_Change,NSALE1,NSALE2,NSALE3,NSALE4,NSALE5,NSALE6,NSALE7,Price1,Price1,Price3,Price4,Price5,Price6,Price7
1,47785.26303,15272.96593,1744126.375,0,0,0,0,0,0,0,0,0,0,0.913804552,0.88455229,1.778123292,0.891331181,1.579051359,3.401774741,0.813336508
2,74035.54751,16096.12122,1861445,26250.28448,823.1552894,117318.625,0,0,0,0,0,0,0,0.753282772,0.75,1.774949062,0.888934895,1.575336181,3.399962435,0.811435411
3,54043.75205,13009.49643,1783348.75,-19991.79546,-3086.624793,-78096.25,0,0,0,0,0,0,0,0.753156874,0.88301501,1.772640103,0.777794206,1.574000551,3.397683585,0.810367311
4,55369.52754,13493.73737,1831941.625,1325.77549,484.2409416,48592.875,0,0,0,0.229854529,1,0,1,0.918930104,0.75,1.77497987,0.777612526,1.437509137,3.397284041,0.686467557
5,80061.52817,14168.04199,1818942.625,24692.00062,674.3046211,-12999,1,0,0,0,1,0,0,0.69,0.883008022,1.766870036,0.888277166,1.43422161,3.389411315,0.811198095
6,41998.24689,11323.02045,1742907,-38063.28127,-2845.021538,-76035.625,0,0,0,1,0,0,0,0.920426157,0.889399195,1.771995481,0.757304058,1.437661843,3.397876987,0.816245365
7,43224.01471,11790.32475,1893556,1225.767813,467.3042955,150649,0,0,0,0.230890763,0,0,0,0.919857211,0.887852121,1.771916796,0.757195701,1.572762665,3.395601033,0.804226714
8,68175.66328,15538.87677,1840299,24951.64857,3748.552024,-53257,0,0,0,1,0,0,0,0.75,0.890519114,1.771604537,0.75725359,1.572683182,3.39616229,0.807991807
9,44714.45122,14193.88673,1734400,-23461.21206,-1344.990045,-105899,0,0,0,0,0,0,0,0.917023859,0.887810569,1.770944661,0.891700598,1.571772594,3.392756273,0.803745061
10,45836.57051,13655.29383,2136443,1122.119289,-538.5929017,402043,0,0,0,0.227666952,0,0,1,0.914852944,0.884012434,1.774430242,0.860702758,1.5743477,3.397409791,0.741393867
11,35948.13169,9509.165369,1603082,-9888.438824,-4146.128458,-533361,0,0,0,0,0,0,0.670145099,0.778599386,0.886075077,1.773005755,0.862782913,1.572622197,3.398244898,0.743532434
12,102109.1266,17429.03393,1753754,66160.99494,7919.868562,150672,0,1,0,0.230678172,0,0,1,0.913714835,0.68654293,1.769101993,0.861491854,1.413595704,3.392728317,0.743253939
13,42146.0194,11234.60778,1784001,-59963.10723,-6194.426152,30247,0,0,0,0.231798386,1,0,1,0.839178164,0.883546059,1.771667963,0.860634122,1.414110199,3.397878105,0.742406139
14,45820.44501,12335.94,2069112,3674.425607,1101.332225,285111,0.790825684,0,0,0,0,0,0.351814984,0.838769334,0.883700897,1.771756108,0.860949567,1.414221882,3.397870731,0.741877064
15,32135.86087,9066.596882,1793829,-13684.58414,-3269.343121,-275283,0.209362123,0,0,0,0,0,0,0.842239556,0.888723467,1.771826147,0.864420268,1.572851388,3.398710772,0.803942235
16,42103.36794,11959.03479,1786344,9967.507069,2892.437905,-7485,0.767195867,0,0,0.226122875,0,0,0,0.842419692,0.887245517,1.769166529,0.864682289,1.570445165,3.393809294,0.8044957
17,132907.2919,24855.03467,1681072,90803.92391,12895.99988,-105272,0,0,0,0.258784112,0,0,0,0.75,0.882358539,1.767139718,0.854252364,1.568950689,3.389101483,0.799470672
18,100728.2917,18299.53714,1704080,-32179.00019,-6555.497531,23008,0,0,0,0,0,0,1,0.91145382,0.881106229,1.770371989,0.886636553,1.5717646,3.394043549,0.49
19,68649.02099,14143.37491,1749835,-32079.27067,-4156.162225,45755,0,0.69496744,0,0,0,0,0,0.915560448,0.780374511,1.76934119,0.69,1.570319147,3.395200939,0.801767552
20,56843.16774,11963.28787,1857926,-11805.85325,-2180.087047,108091,0,0.695472091,0,0,0,0,0,0.916919462,0.780012349,1.771180791,0.69,1.572241015,3.395181654,0.731927746
21,50316.07927,10493.33973,1841071,-6527.088472,-1469.948135,-16855,0,0.694379506,0,0.770686633,0,0,0.647139789,0.907625596,0.779715128,1.770478169,0.69,1.501391942,3.393055127,0.727934341
22,43351.41379,11174.69805,1859444,-6964.665479,681.3583176,18373,0,0,0,0,0,0,1,0.913716335,0.887054125,1.771966968,0.771600476,1.502666652,3.396367296,0.730479435
23,58401.22323,16220.33691,1811747,15049.80944,5045.638856,-47697,0,0,0,0,0,0,1,0.90972986,0.883736202,1.770699733,0.888777948,1.501438002,3.394359587,0.729040521
24,301400.4961,70206.42315,1704668,242999.2729,53986.08625,-107079,0,0,0,0,1,0,0.343941261,0.906251844,0.777144708,1.768109334,0.88633588,1.39,3.391485866,0.728656333
25,117360.5202,11852.00869,1774193,-184039.9759,-58354.41447,69525,0,0,1,0,1,1,0,0.59,0.885744525,1.59,0.890993257,1.39,3.273007713,0.730067388
26,115196.913,6896.318731,1783720,-2163.607229,-4955.689955,9527,0.215105583,0,0.775340514,0.771135656,1,1,0,0.59,0.883411084,1.59,0.59,1.39,3.271194373,0.729161023
27,107017.9174,13905.69068,1861516,-8178.995572,7009.371946,77796,0.208680754,0,0.775920939,1,1,0,1,0.69,0.887822817,1.59,0.59,1.370879054,3.3945092,0.731028986
28,57347.90435,12582.57157,1801250,-49670.01306,-1323.119103,-60266,0,0,0.774088466,0,1,0,1,0.69,0.885324325,1.611358766,0.892567998,1.370401975,3.392345758,0.685577667
29,69425.91609,12552.61399,1797034,12078.01174,-29.95758124,-4216,0,1,0,0,1,0,0,0.908831588,0.665454178,1.611397125,0.895773176,1.371013234,3.394070043,0.685699631
30,45799.90834,10275.4526,2020259,-23626.00775,-2277.161393,223225,0.225238278,0.303511008,1,0,1,0,0,0.778599861,0.666666667,1.611099376,0.89199276,1.369914241,3.391463059,0.801069901
31,49059.69034,10904.04417,1950609,3259.782002,628.5915674,-69650,1,0.696430632,1,0.230716568,1,0,0,0.778869623,0.666666667,1.611453655,0.779172286,1.370731274,3.190000001,0.806040692
32,47670.98228,8947.924714,1754797,-1388.708055,-1956.119452,-195812,0.220594768,1,0.220450666,0.770901358,0,0,1,0.68494075,0.666666667,1.607220657,0.77859098,1.490668185,3.190000001,0.685188802
33,47461.89735,10695.98794,1828972,-209.0849341,1748.063229,74175,1,0,0,0.232087216,0,0,0,0.683372962,0.876328762,1.764459981,0.778075271,1.496209434,3.379894088,0.792695346
34,40219.70774,11835.86641,1836726,-7242.189611,1139.878462,7754,0,0,0,0,0,0,0,0.895435005,0.877008189,1.766042255,0.777847636,1.497769814,3.380185832,0.790790915
35,37505.78684,7512.596605,2005393,-2713.920898,-4323.269801,168667,1,0,0,0.772695247,0,0,0,0.687365201,0.707950841,1.767791204,0.777972516,1.39,3.380774631,0.791238462
36,37790.91725,7352.657067,1916922,285.1304048,-159.9395372,-88471,1,0,0,0,0,0,0,0.686422528,0.701642621,1.769341407,0.777441267,1.39,3.385112427,0.792068563
37,41064.89991,8697.631354,1991256,3273.982668,1344.974287,74334,1,0.332873722,0,0,0,0,0,0.695100269,0.703202333,1.771175474,0.895395351,1.501909109,3.394556214,0.805241602
38,46562.77336,10137.72983,1947663,5497.873449,1440.09848,-43593,1,0.694217979,0,0,0,0,0,0.695459339,0.707885059,1.771699251,0.897808755,1.502423918,3.396066921,0.80783544
39,50800.70582,13699.684,1923901,4237.93246,3561.954165,-23762,0,0,0,0,0,0,0,0.907065108,0.887534237,1.772371211,0.895220556,1.50325928,3.397505837,0.685593538
40,70669.17339,15436.42171,1988756,19868.46757,1736.737711,64855,0,1,0,0,0,0,0,0.9071006,0.84422896,1.770296812,0.69,1.39,3.392232292,0.801060386
41,72547.13396,19145.31451,1936070,1877.960573,3708.892799,-52686,0.767145432,0.693742642,0,0,0,0,0,0.77959682,0.844910711,1.771896378,0.897613332,1.39,3.395528344,0.803818097
42,51250.87288,13964.13847,2280015,-21296.26109,-5181.176036,343945,0.765512585,0.308796795,0,0,0,0,0,0.779592825,0.845300644,1.77210868,0.898223111,1.39,3.394739206,0.807516425
43,89173.72967,15084.28926,1923100,37922.85679,1120.150783,-356915,0,1,0,0.232995645,1,1,0,0.90738463,0.843003268,1.772515301,0.59,1.39,3.265599725,0.803147732
44,51938.03338,15647.95694,1903706,-37235.69629,563.667683,-19394,0,0.308341846,0,0,0,1,0,0.911805478,0.845376721,1.772087058,0.898327058,1.502928219,3.26475854,0.74158985
45,57744.34956,14754.25,1957019,5806.316179,-893.7069359,53313,0.231965015,0.306120492,0,0,0,0,0,0.779068522,0.847165958,1.77241496,0.89990208,1.503223211,3.264733343,0.743205727
46,51842.53612,13032.88987,1928595,-5901.813438,-1721.360136,-28424,0,0.692459513,0,0,0,1,0,0.778980263,0.846813163,1.772773439,0.899650915,1.503348565,3.26480045,0.685874952
